customerid,age,marital,education,balance,housing,loan,duration,campaign,pdays,previous,current,deposit
31765,55,married,secondary,994,no,no,490,2,-1,0,1,no
13093,55,married,tertiary,2,no,yes,126,2,-1,0,1,no
73707,33,married,secondary,7048,yes,no,71,2,-1,0,1,no
92488,30,married,secondary,194,yes,no,475,3,-1,0,1,no
58682,45,married,tertiary,2476,no,no,239,2,-1,0,1,no
98822,32,married,tertiary,1086,no,no,379,3,-1,0,1,no
22506,35,single,primary,258,yes,no,144,1,-1,0,1,no
81899,36,single,secondary,12264,no,no,285,1,182,2,1,yes
21279,41,single,tertiary,-89,yes,no,195,4,251,4,1,no
18111,39,married,primary,2805,yes,no,102,23,-1,0,1,no
21518,30,single,tertiary,780,yes,no,339,2,-1,0,1,no
2556,28,single,unknown,448,yes,no,307,1,-1,0,1,no
93006,33,single,tertiary,224,no,no,409,2,92,4,1,yes
93109,49,married,secondary,322,no,no,356,2,-1,0,1,no
8220,36,married,secondary,96,no,no,302,1,-1,0,1,yes
16614,33,single,secondary,5235,no,no,67,3,-1,0,1,no
91241,42,married,primary,15,yes,no,230,1,-1,0,1,no
52315,30,married,secondary,1589,yes,no,51,4,-1,0,1,no
61887,51,married,secondary,-491,yes,yes,805,2,-1,0,1,no
45591,45,married,secondary,434,no,no,76,4,-1,0,1,no
15052,25,married,secondary,4063,yes,no,64,1,-1,0,1,no
9420,37,single,tertiary,6101,no,no,60,5,87,1,1,no
36837,59,married,tertiary,3421,no,no,121,5,-1,0,1,no
20993,30,single,tertiary,106,yes,no,119,3,-1,0,1,no
21291,34,divorced,secondary,661,yes,no,122,1,96,9,1,no
26306,31,single,unknown,461,yes,no,462,1,-1,0,1,no
36671,34,single,secondary,1866,no,no,134,3,185,1,1,no
17680,39,married,secondary,0,yes,no,63,3,-1,0,1,no
68247,43,married,secondary,3529,no,no,169,2,-1,0,1,no
28401,30,single,tertiary,726,no,no,103,1,-1,0,1,no
17131,39,single,tertiary,1107,yes,no,407,4,-1,0,1,no
83923,26,single,tertiary,12,no,no,563,1,181,10,1,yes
83786,25,married,primary,669,yes,no,367,2,-1,0,1,no
9205,37,single,tertiary,1379,yes,no,319,3,-1,0,1,no
12820,28,single,tertiary,21,yes,no,219,3,-1,0,1,no
10068,36,single,secondary,755,no,no,355,1,-1,0,1,no
65065,31,single,secondary,90,no,yes,35,1,-1,0,1,no
57206,51,married,unknown,2642,no,no,52,6,-1,0,1,no
93113,43,divorced,secondary,130,yes,no,63,3,-1,0,1,no
86960,48,single,primary,396,yes,no,194,3,-1,0,1,no
53572,53,single,tertiary,757,yes,no,122,2,-1,0,1,no
14748,52,married,secondary,0,no,no,351,5,-1,0,1,no
90119,45,married,secondary,351,yes,no,18,2,-1,0,1,no
9661,30,single,tertiary,1571,no,no,996,2,-1,0,1,no
42807,49,married,tertiary,1808,yes,no,205,1,95,1,1,yes
78178,56,divorced,primary,0,no,no,27,1,-1,0,1,no
93744,35,divorced,secondary,3443,no,no,409,4,-1,0,1,no
78280,30,single,secondary,60,no,no,55,2,-1,0,1,no
76967,49,married,secondary,2631,yes,no,76,2,-1,0,1,no
11320,32,single,secondary,-83,yes,no,116,3,-1,0,1,no
74834,35,married,secondary,977,yes,no,52,4,91,1,1,no
14612,48,married,secondary,-440,yes,yes,399,1,-1,0,1,no
72578,57,married,secondary,162,yes,no,174,1,-1,0,1,no
20274,48,single,primary,46,no,no,113,2,180,1,1,yes
79553,46,married,secondary,89,yes,no,479,2,-1,0,1,no
33037,24,married,secondary,0,yes,no,284,1,-1,0,1,no
47552,44,married,secondary,3843,yes,no,70,1,150,2,1,no
40652,37,married,tertiary,1315,no,no,224,1,-1,0,1,yes
73281,60,married,secondary,1541,no,no,90,3,-1,0,1,no
750,43,married,tertiary,291,yes,no,150,2,-1,0,1,no
75325,42,married,primary,-209,no,yes,90,2,-1,0,1,no
9467,60,divorced,secondary,545,yes,no,1030,1,-1,0,1,yes
7161,49,divorced,tertiary,0,yes,no,32,2,-1,0,1,no
87619,40,married,secondary,79,yes,no,223,3,-1,0,1,no
64215,26,single,secondary,81,no,yes,604,1,-1,0,1,no
34473,35,divorced,secondary,89,no,no,203,28,-1,0,1,no
96727,40,married,secondary,-342,yes,no,754,1,-1,0,1,no
2671,29,married,secondary,15,no,no,136,1,-1,0,1,no
1128,48,divorced,tertiary,1401,yes,no,72,3,-1,0,1,no
12682,34,married,tertiary,-28,yes,no,574,1,-1,0,1,no
46782,29,married,tertiary,55,yes,no,235,1,-1,0,1,no
74031,50,married,unknown,-84,yes,no,101,1,-1,0,1,no
70604,40,married,tertiary,832,yes,yes,126,1,-1,0,1,no
40032,47,married,secondary,356,no,no,44,5,-1,0,1,no
32986,47,married,primary,1803,yes,yes,82,7,-1,0,1,no
1680,22,single,secondary,0,yes,no,179,2,-1,0,1,no
48149,28,single,secondary,87,yes,no,27,1,345,1,1,no
77789,57,married,secondary,0,yes,yes,200,2,-1,0,1,no
89158,35,married,tertiary,750,yes,no,233,12,-1,0,1,no
84801,42,married,secondary,3052,yes,no,32,1,-1,0,1,no
36292,33,single,tertiary,76,yes,no,256,3,-1,0,1,no
22069,33,married,secondary,89,no,no,524,3,-1,0,1,no
69908,35,married,tertiary,436,no,yes,507,1,184,4,1,no
15471,48,married,secondary,454,yes,no,114,1,-1,0,1,no
30453,34,single,tertiary,449,no,no,765,3,-1,0,1,no
72198,31,single,secondary,92,yes,no,401,2,-1,0,1,no
82718,42,divorced,secondary,-106,yes,no,95,1,-1,0,1,no
56917,42,divorced,secondary,31,no,no,120,1,-1,0,1,no
65359,30,married,secondary,3,no,no,42,2,297,1,1,no
83668,66,married,tertiary,525,no,no,287,1,-1,0,1,no
34552,27,married,tertiary,59,no,no,306,6,-1,0,1,no
34348,47,divorced,secondary,829,no,yes,466,2,-1,0,1,no
45487,28,married,secondary,86,yes,yes,918,1,-1,0,1,no
24626,25,married,secondary,894,yes,no,328,1,-1,0,1,no
46538,41,divorced,tertiary,2611,yes,no,129,1,314,2,1,no
89990,24,married,primary,456,no,no,337,2,-1,0,1,no
75051,41,married,primary,449,yes,no,10,6,-1,0,1,no
58974,28,married,secondary,61,yes,no,253,1,174,4,1,yes
4595,30,single,secondary,175,no,no,167,4,-1,0,1,no
40004,42,married,primary,7041,yes,no,386,4,-1,0,1,no
60413,26,single,tertiary,47,no,yes,257,2,-1,0,1,no
32222,56,married,primary,-24,yes,no,305,3,-1,0,1,no
25421,49,married,primary,2316,no,no,35,4,-1,0,1,no
35181,46,married,secondary,1590,yes,no,59,2,-1,0,1,no
65512,34,single,secondary,557,no,no,224,1,-1,0,1,yes
24550,27,single,secondary,4,yes,no,153,2,-1,0,1,no
49370,33,married,tertiary,483,yes,no,738,2,-1,0,1,no
21298,31,married,tertiary,-253,no,no,220,4,-1,0,1,no
57875,46,married,unknown,1481,yes,no,49,3,-1,0,1,no
80317,36,married,secondary,-173,yes,no,197,3,-1,0,1,no
33471,42,married,primary,969,yes,no,721,1,-1,0,1,no
2332,56,married,secondary,58932,no,no,339,2,-1,0,1,no
62925,28,single,tertiary,102,no,no,321,2,-1,0,1,no
72155,58,married,tertiary,0,no,no,138,2,-1,0,1,no
49383,34,married,tertiary,179,yes,no,184,1,-1,0,1,no
90274,21,single,unknown,-28,yes,no,125,1,-1,0,1,no
93993,60,married,secondary,358,no,no,74,2,-1,0,1,no
32518,35,married,secondary,274,yes,yes,205,1,-1,0,1,no
93005,28,single,secondary,1347,no,no,317,2,108,14,1,no
87590,53,married,secondary,4968,no,no,109,1,87,2,1,no
17240,30,married,tertiary,0,no,no,111,5,-1,0,1,no
98756,42,married,tertiary,257,no,yes,340,2,-1,0,1,no
8600,23,single,secondary,0,no,no,526,1,-1,0,1,no
78131,31,single,secondary,2,no,no,65,4,-1,0,1,no
60132,58,married,primary,879,yes,no,242,7,-1,0,1,no
93559,45,married,secondary,251,yes,no,304,2,259,2,1,no
26241,26,single,tertiary,2,no,no,120,2,-1,0,1,no
26432,48,married,secondary,127,no,no,117,1,-1,0,1,no
53980,44,divorced,secondary,2108,yes,no,152,2,369,1,1,no
48037,55,married,secondary,284,yes,yes,157,3,-1,0,1,no
28798,46,married,tertiary,0,no,no,83,4,-1,0,1,no
16809,32,married,primary,309,yes,no,185,1,370,3,1,no
82227,33,married,tertiary,114,yes,yes,207,9,-1,0,1,no
71661,33,divorced,secondary,2358,yes,no,529,3,-1,0,1,no
11636,35,single,tertiary,474,yes,yes,372,1,-1,0,1,no
65807,31,single,secondary,350,yes,no,383,5,-1,0,1,no
60906,25,single,secondary,-247,yes,no,633,1,-1,0,1,yes
25692,28,married,secondary,455,no,no,286,1,-1,0,1,no
29326,41,married,secondary,65,no,no,157,1,-1,0,1,no
10185,33,single,tertiary,2024,no,no,109,2,-1,0,1,no
93053,39,married,secondary,2266,no,no,208,4,-1,0,1,yes
32392,52,married,secondary,3034,no,no,206,2,-1,0,1,no
28049,52,married,secondary,3241,yes,no,105,1,-1,0,1,no
79163,40,divorced,tertiary,37,yes,no,412,1,-1,0,1,no
65080,25,single,secondary,722,yes,no,172,1,-1,0,1,no
48380,55,married,tertiary,0,no,no,116,1,-1,0,1,no
82584,30,married,secondary,0,no,no,93,3,-1,0,1,no
57118,29,married,secondary,714,yes,yes,482,2,-1,0,1,yes
83790,57,divorced,tertiary,442,no,no,41,1,253,3,1,no
34455,57,single,secondary,1430,yes,no,666,5,-1,0,1,no
19314,40,married,tertiary,0,no,no,952,4,-1,0,1,yes
41739,46,divorced,secondary,5,yes,yes,305,2,-1,0,1,no
12106,44,married,secondary,2403,yes,no,180,2,-1,0,1,no
39379,33,single,secondary,2466,yes,no,132,2,-1,0,1,no
31192,33,married,secondary,-253,yes,no,89,3,-1,0,1,no
55336,41,married,tertiary,1409,no,no,138,1,-1,0,1,no
62292,32,married,tertiary,281,yes,no,226,1,-1,0,1,no
35379,46,divorced,secondary,348,yes,no,323,1,-1,0,1,no
54843,46,divorced,secondary,0,no,no,1023,3,-1,0,1,yes
7011,33,married,tertiary,NA,yes,no,381,1,243,4,1,no
14679,40,married,secondary,0,no,no,55,6,-1,0,1,no
12787,37,single,tertiary,553,no,no,63,2,-1,0,1,no
81071,42,married,primary,0,no,no,397,1,-1,0,1,no
30152,33,married,tertiary,340,no,no,402,2,-1,0,1,no
42632,30,single,secondary,516,yes,no,66,2,-1,0,1,no
50318,52,single,tertiary,3469,yes,no,653,1,-1,0,1,yes
19989,46,married,unknown,-1092,yes,no,75,5,-1,0,1,no
24323,50,married,secondary,20,yes,no,95,1,-1,0,1,no
34299,32,married,secondary,112,yes,no,311,1,321,1,1,no
67905,38,married,secondary,-140,no,no,456,3,-1,0,1,no
23023,49,married,primary,3652,yes,yes,568,1,285,2,1,no
74127,33,married,unknown,695,yes,yes,148,1,-1,0,1,no
45380,29,single,secondary,163,yes,yes,803,1,-1,0,1,yes
94264,44,married,tertiary,474,yes,yes,183,4,-1,0,1,no
51525,38,single,secondary,864,yes,no,364,1,348,1,1,no
83700,36,married,secondary,79,yes,no,275,2,-1,0,1,no
87743,58,married,tertiary,16264,no,no,215,3,-1,0,1,no
92752,28,single,secondary,-260,yes,no,170,2,-1,0,1,no
38952,33,single,secondary,136,yes,no,30,2,336,13,1,no
66876,39,married,primary,551,no,yes,107,5,-1,0,1,no
99401,28,single,secondary,781,yes,no,52,1,-1,0,1,no
13013,31,single,secondary,183,yes,no,258,1,300,1,1,no
81753,46,married,secondary,2148,no,no,176,4,-1,0,1,no
27351,39,married,secondary,5562,no,no,149,3,-1,0,1,no
94158,28,married,secondary,143,yes,no,44,13,-1,0,1,no
14652,24,single,secondary,1690,yes,yes,543,3,350,3,1,no
66409,27,single,secondary,504,yes,no,106,5,362,8,1,no
5747,34,single,tertiary,1049,yes,no,55,1,-1,0,1,no
54485,24,single,secondary,-122,yes,no,1000,1,-1,0,1,yes
88784,32,single,tertiary,27,no,no,146,3,-1,0,1,no
89682,36,married,secondary,70,yes,no,100,2,-1,0,1,no
19667,38,single,tertiary,11971,yes,no,327,3,-1,0,1,no
89063,39,married,secondary,145,yes,yes,337,3,330,6,1,no
89710,30,married,tertiary,319,yes,yes,91,2,-1,0,1,no
9149,44,single,secondary,7138,no,no,809,2,-1,0,1,yes
39185,45,married,tertiary,0,no,no,103,2,-1,0,1,no
82328,65,divorced,tertiary,0,no,no,248,1,-1,0,1,no
84784,31,married,secondary,-641,yes,yes,296,2,-1,0,1,no
25872,63,married,primary,12067,no,no,660,1,191,1,1,yes
62466,29,married,secondary,1661,yes,no,123,2,-1,0,1,no
97818,38,married,primary,2366,yes,no,97,4,-1,0,1,no
90574,39,single,secondary,782,yes,no,162,3,-1,0,1,no
8866,46,divorced,secondary,-154,yes,no,215,2,294,1,1,no
65577,30,married,tertiary,101,yes,no,88,1,-1,0,1,no
5837,25,single,secondary,7103,yes,no,287,1,-1,0,1,no
14247,30,single,tertiary,5288,yes,no,288,3,-1,0,1,no
37939,47,married,secondary,310,yes,no,145,3,-1,0,1,no
44550,37,married,primary,403,yes,no,318,2,338,1,1,no
36836,27,married,secondary,2329,no,no,131,1,-1,0,1,yes
95388,48,married,tertiary,3766,no,no,206,2,-1,0,1,no
57637,45,married,primary,658,yes,no,406,3,270,2,1,no
43614,41,married,tertiary,1408,no,no,403,3,-1,0,1,no
8248,40,married,secondary,192,yes,yes,16,8,351,5,1,no
35920,50,married,secondary,326,yes,no,124,1,369,2,1,no
79734,25,single,secondary,381,yes,no,951,1,-1,0,1,no
6950,41,single,secondary,3023,no,no,616,3,-1,0,1,no
93243,39,divorced,secondary,127,no,no,150,2,-1,0,1,no
48906,57,married,tertiary,10583,no,no,272,1,178,6,1,yes
84051,45,single,tertiary,2571,yes,no,54,1,-1,0,1,no
92123,57,divorced,primary,362,no,no,187,1,-1,0,1,no
18332,42,divorced,secondary,83,no,no,300,5,358,6,1,no
3744,35,married,tertiary,-272,no,yes,309,1,197,13,1,no
72589,49,single,secondary,1245,no,no,115,2,198,2,1,no
5086,57,single,unknown,5368,yes,no,585,1,-1,0,1,no
77525,33,married,secondary,93,no,no,211,5,-1,0,1,no
52009,23,single,secondary,105,yes,yes,305,2,-1,0,1,no
36845,46,married,tertiary,917,no,no,389,5,-1,0,1,no
95149,29,married,tertiary,167,yes,yes,357,2,237,2,1,no
13783,28,single,secondary,404,no,yes,188,1,-1,0,1,no
13233,25,single,secondary,0,yes,no,244,2,-1,0,1,no
64336,25,single,tertiary,453,yes,no,134,1,-1,0,1,no
70421,32,married,tertiary,514,yes,no,497,2,-1,0,1,no
22250,55,married,secondary,1569,yes,no,156,4,-1,0,1,no
5555,43,married,primary,-124,yes,no,47,5,-1,0,1,no
67895,52,married,secondary,9,no,yes,44,1,-1,0,1,no
89157,53,married,primary,574,yes,no,121,2,-1,0,1,no
78756,35,married,secondary,159,yes,no,259,2,262,1,1,no
53483,35,single,tertiary,687,yes,no,166,2,-1,0,1,no
46470,38,married,unknown,499,no,no,240,6,-1,0,1,no
45208,30,single,tertiary,1622,no,no,242,1,-1,0,1,no
20753,33,married,secondary,34,yes,yes,161,1,-1,0,1,no
72708,50,married,primary,167,no,no,189,1,-1,0,1,no
3140,39,divorced,secondary,0,no,no,35,6,-1,0,1,no
94946,19,single,primary,0,no,no,72,4,-1,0,1,no
14015,48,married,secondary,426,yes,yes,186,2,-1,0,1,no
32723,50,married,tertiary,202,yes,no,107,1,148,4,1,no
39783,30,married,secondary,1534,yes,yes,243,1,-1,0,1,no
9808,38,married,secondary,-242,yes,yes,236,2,-1,0,1,no
65427,52,married,secondary,266,yes,no,87,2,299,3,1,no
26068,34,single,tertiary,2521,no,no,73,2,-1,0,1,no
28424,30,married,tertiary,-256,yes,no,51,5,-1,0,1,no
94031,30,single,secondary,223,yes,no,862,11,-1,0,1,yes
40060,39,married,primary,1373,yes,no,81,5,-1,0,1,no
97547,47,married,secondary,-107,no,no,236,2,-1,0,1,no
96295,46,married,primary,5393,yes,no,997,2,-1,0,1,no
56977,53,single,secondary,198,yes,yes,521,2,-1,0,1,no
31803,33,single,secondary,687,yes,no,174,1,-1,0,1,no
97986,37,married,primary,3517,yes,no,445,1,-1,0,1,no
84069,38,married,tertiary,2548,yes,no,60,1,-1,0,1,no
3053,28,married,primary,0,yes,no,129,2,-1,0,1,no
70229,37,married,tertiary,264,yes,yes,276,1,157,1,1,no
5253,31,married,secondary,1570,yes,yes,133,2,180,1,1,no
30754,35,married,tertiary,86,yes,no,144,3,-1,0,1,no
16143,38,married,secondary,0,yes,no,210,1,92,3,1,yes
27760,55,divorced,tertiary,1598,no,no,607,4,-1,0,1,no
82874,34,married,secondary,0,yes,yes,175,4,-1,0,1,no
15411,44,married,secondary,2897,no,no,296,1,180,4,1,no
44555,44,divorced,tertiary,0,yes,yes,128,1,-1,0,1,no
90006,37,married,secondary,1345,yes,no,59,2,-1,0,1,no
40553,34,single,tertiary,589,yes,no,44,4,367,1,1,no
92577,30,single,secondary,3809,yes,no,159,4,-1,0,1,no
23564,36,divorced,secondary,437,yes,no,722,2,344,1,1,yes
39536,44,divorced,secondary,-43,yes,yes,206,1,-1,0,1,no
9946,47,married,secondary,344,yes,no,87,1,-1,0,1,no
6200,46,married,secondary,179,yes,no,194,4,436,1,1,no
88733,48,married,secondary,473,no,yes,198,2,-1,0,1,no
85299,56,divorced,secondary,778,yes,no,149,2,-1,0,1,no
97138,37,married,secondary,306,no,no,73,1,-1,0,1,no
64605,43,married,secondary,877,yes,no,135,1,-1,0,1,no
63162,55,married,secondary,1816,no,no,197,1,-1,0,1,no
16097,33,married,secondary,920,no,no,344,1,-1,0,1,yes
80813,35,married,primary,0,no,yes,17,1,-1,0,1,no
45329,36,married,tertiary,4932,yes,no,273,5,-1,0,1,no
23738,31,married,tertiary,4315,yes,no,359,1,-1,0,1,no
79638,48,married,secondary,74,no,yes,315,1,-1,0,1,no
73733,33,married,secondary,0,no,no,128,1,-1,0,1,no
4376,59,married,secondary,561,no,no,323,2,-1,0,1,no
11337,40,married,secondary,877,yes,no,207,6,-1,0,1,no
95478,54,married,secondary,2206,no,no,260,1,91,4,1,yes
71127,42,single,primary,4930,no,no,973,1,-1,0,1,yes
36648,43,divorced,secondary,-287,yes,no,580,4,-1,0,1,no
4035,38,divorced,secondary,1559,yes,no,22,6,179,10,1,no
44342,26,single,tertiary,2722,no,no,206,1,-1,0,1,no
77327,31,single,secondary,538,yes,no,660,3,-1,0,1,no
69359,54,married,tertiary,1014,no,yes,240,1,162,2,1,yes
53168,36,married,primary,409,yes,no,81,3,-1,0,1,no
91028,37,married,secondary,718,no,yes,215,3,-1,0,1,no
96763,29,single,tertiary,218,yes,no,169,1,-1,0,1,no
20430,36,single,secondary,4394,yes,no,114,1,-1,0,1,no
68532,43,married,tertiary,3157,no,no,381,2,330,17,1,no
52777,33,single,secondary,635,no,no,124,1,-1,0,1,no
91119,32,married,unknown,1016,no,no,141,2,-1,0,1,no
57384,49,married,primary,2068,yes,no,45,1,-1,0,1,no
37783,36,married,secondary,1368,no,no,516,1,292,5,1,yes
31358,54,divorced,tertiary,92,no,yes,86,4,-1,0,1,no
86204,47,married,primary,502,yes,no,28,2,-1,0,1,no
49027,54,single,secondary,1178,yes,no,41,6,264,2,1,no
85140,32,single,unknown,2313,yes,no,99,26,-1,0,1,no
90764,44,divorced,secondary,-368,yes,no,895,1,-1,0,1,yes
76787,35,single,primary,3339,yes,no,304,2,-1,0,1,no
43672,32,single,tertiary,61,yes,no,130,3,-1,0,1,no
19876,38,married,secondary,-448,yes,no,929,15,-1,0,1,no
55640,43,divorced,tertiary,3163,yes,no,211,3,-1,0,1,no
98711,34,married,secondary,-257,yes,no,160,1,368,4,1,no
70412,29,married,tertiary,7832,yes,no,304,2,-1,0,1,no
28498,39,married,unknown,378,no,no,17,5,-1,0,1,no
24777,44,married,primary,658,yes,no,236,2,-1,0,1,no
88666,47,married,unknown,1046,no,no,83,1,-1,0,1,no
25494,37,single,tertiary,2441,yes,yes,248,1,-1,0,1,no
44540,42,married,primary,1371,no,no,125,8,-1,0,1,no
9980,55,married,secondary,865,yes,no,85,1,151,1,1,no
18948,42,single,tertiary,0,no,no,129,4,-1,0,1,no
43378,59,divorced,tertiary,258,yes,no,33,1,173,1,1,no
74817,46,married,unknown,0,yes,no,49,1,-1,0,1,no
84875,45,married,secondary,295,yes,no,92,1,-1,0,1,no
5578,33,married,tertiary,210,yes,no,84,1,167,1,1,no
68907,50,married,tertiary,52,no,no,22,8,-1,0,1,no
22921,32,married,secondary,328,yes,no,132,1,-1,0,1,no
95271,31,married,tertiary,1134,no,no,174,2,-1,0,1,no
23555,59,married,secondary,1035,yes,yes,126,2,239,1,1,no
84324,34,married,secondary,165,no,no,99,1,370,1,1,no
45010,43,married,tertiary,136,no,no,120,2,-1,0,1,no
27714,59,divorced,secondary,1,yes,no,602,1,253,5,1,yes
26190,30,single,unknown,0,yes,no,1206,2,-1,0,1,no
5694,48,divorced,secondary,1266,yes,no,45,1,-1,0,1,no
11032,23,single,secondary,85,yes,no,109,2,-1,0,1,no
84617,58,married,primary,0,no,no,176,5,-1,0,1,no
5086,57,single,unknown,5368,yes,no,585,1,-1,0,1,no
80308,40,single,secondary,0,yes,no,350,2,-1,0,1,no
94842,28,single,secondary,1705,no,no,412,2,-1,0,1,yes
15470,51,divorced,secondary,421,yes,no,216,2,-1,0,1,no
29675,34,divorced,secondary,961,no,no,137,2,430,2,1,no
67175,34,divorced,secondary,2551,yes,yes,1408,2,-1,0,1,no
21111,54,married,tertiary,1303,no,no,1635,1,-1,0,1,yes
46763,36,married,secondary,1550,no,no,17,3,-1,0,1,no
40990,36,married,tertiary,1584,yes,no,178,1,-1,0,1,no
20900,30,single,secondary,179,yes,no,286,3,-1,0,1,no
49604,54,married,tertiary,195,no,yes,47,1,265,6,1,no
5416,56,married,primary,9367,no,no,320,2,101,2,1,yes
70431,56,married,primary,17,yes,no,123,4,-1,0,1,no
84145,28,married,secondary,22171,yes,no,85,3,-1,0,1,no
84634,49,married,tertiary,3237,yes,no,232,3,-1,0,1,no
33490,39,married,tertiary,94,no,no,70,2,-1,0,1,no
98164,60,married,tertiary,371,no,yes,102,8,-1,0,1,no
44528,37,married,tertiary,355,no,no,340,1,-1,0,1,no
72249,40,married,secondary,488,yes,no,222,4,-1,0,1,no
96728,32,married,tertiary,8300,no,yes,460,3,-1,0,1,no
14592,43,divorced,tertiary,-173,no,yes,119,7,-1,0,1,no
49409,33,married,secondary,14850,yes,no,122,5,-1,0,1,no
73741,31,married,secondary,3311,yes,no,719,1,-1,0,1,yes
25915,30,married,tertiary,86,yes,yes,255,6,169,3,1,no
56982,43,divorced,secondary,51,no,no,430,1,-1,0,1,yes
3589,23,single,tertiary,230,no,no,264,1,-1,0,1,no
26252,31,single,secondary,2038,yes,no,239,1,182,1,1,no
72679,47,married,secondary,1765,no,no,59,3,-1,0,1,no
55785,32,divorced,secondary,264,no,no,71,1,-1,0,1,no
45940,29,single,tertiary,1170,no,no,453,1,-1,0,1,yes
90016,45,married,tertiary,37378,yes,no,167,1,-1,0,1,no
30197,40,married,primary,324,yes,no,205,6,-1,0,1,no
98270,36,married,tertiary,114,no,no,342,1,-1,0,1,no
81553,42,married,secondary,372,yes,no,130,8,-1,0,1,no
61147,59,married,unknown,201,no,no,69,7,-1,0,1,no
9861,43,divorced,secondary,0,no,no,106,4,-1,0,1,no
243,33,married,secondary,2254,yes,no,130,1,148,1,1,no
32858,59,married,secondary,26,no,no,92,3,-1,0,1,no
84471,25,single,tertiary,710,no,no,119,1,-1,0,1,no
47710,34,married,secondary,0,yes,no,55,3,-1,0,1,no
64951,34,married,tertiary,31,no,no,108,1,-1,0,1,no
51731,27,single,tertiary,13107,yes,no,661,1,314,2,1,yes
4363,30,married,secondary,-388,yes,no,263,1,293,3,1,no
52926,52,married,secondary,4233,no,no,158,2,-1,0,1,no
93148,31,married,tertiary,120,no,no,1000,1,-1,0,1,yes
1630,45,divorced,tertiary,2406,no,no,248,2,-1,0,1,no
78138,36,divorced,tertiary,8119,no,yes,118,2,-1,0,1,no
32599,36,single,secondary,60,yes,no,156,2,-1,0,1,yes
88040,37,divorced,secondary,284,yes,no,182,5,-1,0,1,no
42257,35,married,secondary,1993,yes,no,462,2,-1,0,1,no
55497,32,single,secondary,2696,yes,no,564,2,183,1,1,no
71455,29,single,unknown,175,no,no,597,3,-1,0,1,no
88128,25,single,tertiary,11,no,yes,236,3,-1,0,1,no
80559,38,married,tertiary,52,yes,no,82,4,-1,0,1,no
18646,47,married,secondary,439,yes,no,156,12,-1,0,1,no
62863,58,married,primary,1183,no,no,1721,5,-1,0,1,yes
86583,18,single,unknown,108,no,no,167,1,-1,0,1,yes
68069,41,married,secondary,2105,yes,no,134,1,-1,0,1,no
33325,58,married,secondary,5680,no,yes,237,2,-1,0,1,no
34199,45,married,unknown,13265,no,no,113,2,-1,0,1,no
92663,36,married,primary,378,yes,no,1240,1,-1,0,1,yes
80892,31,married,secondary,457,yes,no,236,1,-1,0,1,no
95555,34,married,primary,6718,no,no,278,4,97,1,1,no
85564,32,married,tertiary,1390,no,no,116,2,-1,0,1,no
33407,40,married,tertiary,2946,no,no,78,2,-1,0,1,no
35542,35,single,primary,246,no,no,157,2,345,5,1,no
33749,38,married,secondary,284,yes,no,483,1,-1,0,1,no
6490,46,married,primary,965,no,no,177,1,-1,0,1,no
71434,57,divorced,tertiary,3287,no,no,277,2,337,1,1,yes
89871,32,single,secondary,432,no,no,559,3,-1,0,1,no
71160,37,married,unknown,247,no,no,366,1,-1,0,1,no
77392,43,divorced,tertiary,1133,yes,no,131,1,-1,0,1,no
79939,53,married,unknown,0,no,no,150,2,-1,0,1,no
82254,39,married,secondary,217,yes,no,284,1,308,4,1,no
93686,30,single,tertiary,102,yes,no,364,3,-1,0,1,yes
60518,38,divorced,secondary,382,yes,no,397,1,-1,0,1,no
29530,34,single,tertiary,1077,no,no,218,1,151,5,1,no
68968,30,single,secondary,327,yes,no,21,2,-1,0,1,no
57728,42,married,secondary,0,no,no,240,1,-1,0,1,no
31460,38,divorced,secondary,-397,yes,yes,91,9,-1,0,1,no
6177,53,married,secondary,380,yes,yes,42,1,302,1,1,no
32211,29,married,tertiary,26,yes,no,45,1,-1,0,1,no
59859,40,married,tertiary,3059,yes,yes,41,1,182,1,1,no
726,51,married,secondary,1605,yes,no,94,3,-1,0,1,no
57504,40,single,unknown,358,yes,no,350,1,-1,0,1,no
93474,52,married,secondary,2904,yes,no,201,6,272,3,1,no
68843,52,married,secondary,1645,no,no,248,1,-1,0,1,no
73849,37,married,secondary,121,yes,no,617,2,-1,0,1,no
66209,31,single,secondary,0,yes,no,150,1,-1,0,1,no
95345,33,married,tertiary,12,yes,no,137,1,-1,0,1,no
45384,35,single,secondary,-41,yes,no,169,1,-1,0,1,no
72267,46,married,tertiary,99,yes,no,569,1,-1,0,1,no
5481,36,married,secondary,1949,yes,no,48,2,319,3,1,no
17558,32,married,primary,7406,yes,no,418,2,-1,0,1,no
72434,32,married,secondary,316,yes,no,14,4,-1,0,1,no
12234,30,divorced,tertiary,-1105,yes,no,686,1,-1,0,1,no
60061,60,married,tertiary,0,yes,no,59,1,-1,0,1,no
63696,26,single,tertiary,828,yes,no,156,1,199,1,1,yes
61799,33,single,primary,-15,no,yes,326,2,-1,0,1,no
68207,36,single,primary,58,yes,no,134,1,-1,0,1,no
5702,56,married,secondary,397,yes,no,252,1,-1,0,1,no
20377,57,married,primary,8403,no,no,11,11,-1,0,1,no
3697,46,married,secondary,-204,yes,yes,234,15,-1,0,1,no
37199,46,married,secondary,2948,no,no,893,1,-1,0,1,yes
76784,55,married,primary,512,no,no,1200,2,-1,0,1,yes
